Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,5/5/2014,483,78,87.63000727,C,OMR,Interior
Clifton Court Intake,9/24/1990,504,78,90.82305445,C,OMR,Interior
Middle River @ Union Point - P10A,2/2/2010,536,78,54.29400396,BN,OMR,Interior
Clifton Court Intake,9/22/1994,667,78,90.04354307,C,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,78,93.88533024,C,OMR,Interior
Clifton Court Intake,11/13/1990,689,78,93.89378554,D,OMR,Interior
Contra Costa PP Number 01,6/24/1991,705,78,92.83977948,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,78,94.9140377,C,OMR,Interior
Clifton Court Intake,2/27/1991,840,78,95.15255136,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,77,78.884997,C,OMR,Interior
Contra Costa PP Number 01,3/4/2008,361,77,66.16351777,C,OMR,Interior
Middle River @ Union Point - P10A,3/4/2008,374,77,66.16351777,C,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,77,79.98947042,C,OMR,Interior
Clifton Court Intake,3/24/1994,437,77,72.52425966,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2008,511,77,92.75840841,C,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,77,94.34149831,C,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,77,94.93479848,C,OMR,Interior
Contra Costa PP Number 01,1/6/2004,784,77,55.58733795,BN,OMR,Interior
Contra Costa PP Number 01,4/2/2002,295,76,71.94484474,D,OMR,Interior
Old River near Rock Slough,6/19/1959,318,76,91.43818578,BN,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,76,73.26168644,D,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,76,86.55672415,C,OMR,Interior
Middle River @ Union Point - P10A,10/6/2009,411,76,87.99178837,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2008,443,76,93.02142734,D,OMR,Interior
Clifton Court Intake,10/20/1994,451,76,92.73586707,AN,OMR,Interior
Old River near Rock Slough,9/15/1959,486,76,84.58759953,BN,OMR,Interior
Old River near Rock Slough,9/15/1959,509,76,84.58759953,BN,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,76,66.95278638,W,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1990,542,76,93.08539402,C,OMR,Interior
Middle River @ Union Point - P10A,1/9/2019,543,76,#N/A,W,OMR,Interior
Contra Costa PP Number 01,10/13/1994,569,76,90.78710967,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,76,93.66767375,C,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,76,90.04861349,W,OMR,Interior
Clifton Court Intake,1/31/1991,731,76,94.0793962,C,OMR,Interior
Clifton Court Intake,11/19/1992,737,76,93.66767375,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,76,92.45317986,C,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,75,72.52425966,C,OMR,Interior
Contra Costa PP Number 01,2/8/1996,397,75,47.52751567,W,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,75,63.16142825,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/20/1994,441,75,78.884997,C,OMR,Interior
Clifton Court Intake,6/22/1994,450,75,89.49535368,C,OMR,Interior
Middle River at Bacon Island Bridge,2/17/1994,482,75,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,5/19/1994,499,75,76.51544974,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/28/1988,512,75,88.84197167,C,OMR,Interior
Contra Costa PP Number 01,2/6/1995,533,75,48.45038827,W,OMR,Interior
Middle River @ Union Point - P10A,1/3/2008,544,75,83.34570353,C,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,75,88.64679121,D,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,75,95.81957478,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,75,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,75,96.70881536,C,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,75,94.04183083,D,OMR,Interior
Clifton Court Intake,3/26/1992,321,74,68.43776556,C,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,74,51.6298188,W,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,74,70.46558651,AN,OMR,Interior
Middle River @ Union Point - P10A,11/6/2007,427,74,89.58054651,W,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,74,93.56618111,C,OMR,Interior
Middle River at Bacon Island Bridge,4/21/1993,440,74,62.38347365,AN,OMR,Interior
Middle River at Bacon Island Bridge,6/28/1991,451,74,91.92518677,C,OMR,Interior
Contra Costa PP Number 01,2/5/2008,462,74,54.87619201,C,OMR,Interior
Middle River at Bacon Island Bridge,4/8/1993,465,74,54.30864006,AN,OMR,Interior
Middle River @ Union Point - P10A,1/5/2010,466,74,86.26711441,BN,OMR,Interior
Contra Costa PP Number 01,11/7/2005,468,74,89.68142253,BN,OMR,Interior
Middle River at Bacon Island Bridge,10/7/1992,522,74,92.45317986,C,OMR,Interior
Middle River at Bacon Island Bridge,1/29/1991,532,74,94.90599798,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1988,533,74,88.84197167,C,OMR,Interior
Contra Costa PP Number 01,10/3/2000,548,74,87.25802224,W,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,74,82.80590189,AN,OMR,Interior
Old River near Rock Slough,7/7/1959,716,74,94.29889644,BN,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,74,82.54298007,C,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,74,88.30977329,D,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,74,94.87189975,C,OMR,Interior
