Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Clifton Court Intake,9/22/1994,667,19,90.04354307,C,OMR,Interior
Clifton Court Intake,5/23/1990,654,19,90.30188297,C,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,19,95.38511805,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,19,90.63835999,C,OMR,Interior
Clifton Court Intake,6/25/1991,607,19,93.04612539,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,19,92.33233742,C,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,19,90.63835999,C,OMR,Interior
Rock Slough @ Old River,3/26/1991,567,19,72.01442228,C,OMR,Interior
Middle River at Bacon Island Bridge,6/25/1992,564,19,90.85817896,C,OMR,Interior
Contra Costa PP Number 01,5/21/1991,537,19,91.14886705,C,OMR,Interior
Middle River at Bacon Island Bridge,10/19/1992,534,19,94.57151352,C,OMR,Interior
Middle River at Bacon Island Bridge,10/7/1992,522,19,92.45317986,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2008,511,19,92.75840841,C,OMR,Interior
Contra Costa PP Number 01,5/19/1992,451,19,92.35936602,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2008,443,19,93.02142734,D,OMR,Interior
Middle River at Bacon Island Bridge,10/2/1990,437,19,92.40360011,D,OMR,Interior
Contra Costa PP Number 01,3/24/1992,421,19,67.98576989,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2018,402,19,74.06112596,BN,OMR,Interior
Middle River @ Union Point - P10A,5/4/2010,400,19,57.05251942,BN,OMR,Interior
Contra Costa PP Number 01,2/5/2002,385,19,70.70857903,D,OMR,Interior
Clifton Court Intake,1/19/1994,367,19,80.49647088,C,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,19,71.63203277,W,OMR,Interior
Contra Costa PP Number 01,2/10/1993,361,19,66.22571537,AN,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1991,359,19,91.14886705,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1980,358,19,65.43895548,AN,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,19,51.6298188,W,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,19,78.884997,C,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,19,60.83995013,AN,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,19,72.87905364,D,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,19,64.18410148,W,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,19,66.37589317,BN,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,19,72.52425966,C,OMR,Interior
Old River near Rock Slough,6/19/1959,327,19,91.43818578,BN,OMR,Interior
