Long Station Name,Collection Date,EC,Br,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,7/9/2018,246,0.08,82.60710477,BN,OMR,Interior
Middle River @ Union Point - P10A,12/4/2017,246,0.08,83.87250454,W,OMR,Interior
Middle River @ Union Point - P10A,12/4/2017,246,0.08,83.87250454,W,SouthDelta,Interior
Middle River @ Union Point - P10A,7/9/2018,246,0.08,82.60710477,BN,SouthDelta,Interior
Middle River @ Union Point - P10A,4/4/2011,247,0.06,0,W,OMR,Interior
Little Connection Sl. @ Empire Tr.,1/23/1992,247,0.04,92.69366513,C,SJRcorridor,Interior
Little Connection Sl. @ Empire Tr.,1/13/1993,247,0.05,64.09402935,AN,SJRcorridor,Interior
Middle River @ Union Point - P10A,4/4/2011,247,0.06,0,W,SouthDelta,Interior
San Joaquin River at Prisoner's Point,7/30/2009,247.3,0.12,85.45859171,D,SJRcorridor,Interior
Little Connection Sl. @ Empire Tr.,7/20/1994,248,0.1,90.6143213,C,SJRcorridor,Interior
Contra Costa PP Number 01,7/1/1997,249,0.07,78.99333076,W,OMR,Interior
Old River nr Tracy,10/20/1993,249,0.08,84.89979461,C,SouthDelta,Interior
Contra Costa PP Number 01,6/8/1993,250,0.06,57.7015985,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,4/23/1991,251,0.08,85.01362795,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,10/3/2006,253,0.08,79.15994988,AN,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,3/14/1996,253,0.06,48.94207006,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,10/3/2006,253,0.08,79.15994988,AN,SouthDelta,Interior
Contra Costa PP Number 01,6/6/2000,254,0.06,72.94579268,AN,OMR,Interior
Contra Costa PP Number 01,4/2/2007,255,0.04,72.02877378,D,OMR,Interior
Contra Costa PP Number 01,6/7/2005,256,0.07,54.24209382,AN,OMR,Interior
Middle River @ Union Point - P10A,6/6/2011,257,0.08,57.57300551,W,OMR,Interior
Middle River @ Union Point - P10A,6/6/2011,257,0.08,57.57300551,W,SouthDelta,Interior
Middle River @ Union Point - P10A,2/6/2017,258,0.07,50.46962633,W,OMR,Interior
Middle River @ Union Point - P10A,2/6/2017,258,0.07,50.46962633,W,SouthDelta,Interior
San Joaquin River at Prisoner's Point,11/18/2009,258.8,0.1,88.28529367,C,SJRcorridor,Interior
