Long Station Name,Collection Date,EC,Cl,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,2/3/2009,633,113,84.30493265,D,OMR,Interior
Contra Costa PP Number 01,1/13/1993,633,99,64.09402935,AN,OMR,Interior
Rock Slough @ Old River,7/10/1991,630,130,92.07471565,C,OMR,Interior
Rock Slough @ Old River,8/28/1985,630,122,86.67605396,D,OMR,Interior
Old River South of Rock Slough (St 5A),8/18/1981,628,130,87.20292234,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,627,130,93.34177705,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/8/1976,626,120,89.25179208,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,625,131,93.34177705,BN,OMR,Interior
Contra Costa PP Number 01,10/2/1990,625,124,92.40360011,D,OMR,Interior
Middle River at Bacon Island Bridge,11/13/1990,625,101,93.89378554,D,OMR,Interior
Old River near Rock Slough,9/2/1959,621,126,91.96611223,BN,OMR,Interior
Rock Slough @ Old River,10/1/1990,618,121,91.47315676,D,OMR,Interior
Middle River at Bacon Island Bridge,11/27/1990,618,105,93.19458317,D,OMR,Interior
Rock Slough @ Old River,11/5/1987,617,116,93.1732086,W,OMR,Interior
Clifton Court Intake,10/4/1988,617,110,93.17402995,D,OMR,Interior
Clifton Court Intake,8/9/1988,616,133,85.21737303,C,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,120,94.93479848,C,OMR,Interior
Clifton Court Intake,11/5/1987,616,115,93.1732086,W,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,90,54.28372948,D,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,127,90.63835999,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/1/1990,613,120,91.47315676,D,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,119,92.39401068,D,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,110,94.34149831,C,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1991,609,114,94.35994762,C,OMR,Interior
Clifton Court Intake,6/25/1991,607,126,93.04612539,C,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,110,93.66767375,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/17/1985,605,131,77.70271234,D,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,124,88.64679121,D,OMR,Interior
Clifton Court Intake,9/25/1985,602,80,87.74760658,D,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,118,89.47617765,BN,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,110,92.33233742,C,OMR,Interior
Clifton Court Intake,5/19/1994,599,84,76.51544974,C,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,119,83.08252588,C,OMR,Interior
Clifton Court Intake,8/25/1994,597,129,90.48799198,C,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,135,92.78926842,C,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,122,90.63835999,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/24/1991,595,134,92.78926842,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1990,595,126,84.4251127,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/13/1979,592,128,83.32246149,BN,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,68,60.574921,AN,OMR,Interior
Middle River @ Union Point - P10A,1/6/2009,589,104,86.18470086,D,OMR,Interior
Clifton Court Intake,1/7/1988,588,111,82.88953214,C,OMR,Interior
Clifton Court Intake,2/7/1990,586,116,84.33818965,C,OMR,Interior
