Long Station Name,Collection Date,EC,Mg,Sacramento X2,WYT,Location,Area
Rock Slough @ Old River,5/23/1990,660,16,90.30188297,C,OMR,Interior
Clifton Court Intake,5/23/1990,654,16,90.30188297,C,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,16,95.38511805,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/22/1985,639,16,91.1066811,W,OMR,Interior
Rock Slough @ Old River,7/10/1991,630,16,92.07471565,C,OMR,Interior
Contra Costa PP Number 01,10/2/1990,625,16,92.40360011,D,OMR,Interior
Middle River at Bacon Island Bridge,11/13/1990,625,16,93.89378554,D,OMR,Interior
Middle River at Bacon Island Bridge,11/27/1990,618,16,93.19458317,D,OMR,Interior
Rock Slough @ Old River,10/1/1990,618,16,91.47315676,D,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,16,92.39401068,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/1/1990,613,16,91.47315676,D,OMR,Interior
Old River South of Rock Slough (St 5A),12/17/1985,605,16,77.70271234,D,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,16,89.47617765,BN,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,16,92.33233742,C,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,16,83.08252588,C,OMR,Interior
Clifton Court Intake,8/25/1994,597,16,90.48799198,C,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,16,92.78926842,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/24/1991,595,16,92.78926842,C,OMR,Interior
Contra Costa PP Number 01,10/23/1991,585,16,94.27657666,C,OMR,Interior
Middle River at Bacon Island Bridge,10/24/1990,585,16,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,16,92.75840841,C,OMR,Interior
Contra Costa PP Number 01,10/13/1994,569,16,90.78710967,AN,OMR,Interior
Clifton Court Intake,6/4/1992,569,16,92.61021102,C,OMR,Interior
Rock Slough @ Old River,3/26/1991,567,16,72.01442228,C,OMR,Interior
Middle River at Bacon Island Bridge,2/13/1991,557,16,94.27904419,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/14/1981,557,16,89.11569229,AN,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,16,58.29157662,W,OMR,Interior
Clifton Court Intake,2/25/1992,554,16,65.86224313,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/26/1991,549,16,72.01442228,C,OMR,Interior
Clifton Court Intake,3/27/1991,548,16,71.68911216,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1988,540,16,91.84800955,C,OMR,Interior
Middle River at Bacon Island Bridge,10/19/1992,534,16,94.57151352,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1988,533,16,88.84197167,C,OMR,Interior
Clifton Court Intake,5/21/1991,527,16,91.14886705,C,OMR,Interior
Middle River at Bacon Island Bridge,3/11/1991,514,16,78.62871498,C,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,16,49.65011755,BN,OMR,Interior
Middle River @ Union Point - P10A,3/2/2010,483,16,63.81753273,BN,OMR,Interior
Contra Costa PP Number 01,4/8/2008,465,16,78.37516679,C,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,15.9,90.04861349,W,OMR,Interior
Contra Costa PP Number 01,8/21/1991,699,15,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,15,88.40480968,D,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,15,83.27712196,D,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,15,82.80590189,AN,OMR,Interior
Contra Costa PP Number 01,11/17/1993,647,15,88.13138401,C,OMR,Interior
Rock Slough @ Old River,8/7/1990,635,15,84.4251127,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/18/1981,628,15,87.20292234,D,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,15,94.93479848,C,OMR,Interior
Rock Slough @ Old River,9/25/1990,583,15,91.8739207,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/25/1990,573,15,91.8739207,C,OMR,Interior
Middle River at Bacon Island Bridge,8/4/1992,571,15,93.425676,C,OMR,Interior
Middle River at Bacon Island Bridge,6/25/1992,564,15,90.85817896,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1987,564,15,84.30302728,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/10/1991,563,15,88.47167384,C,OMR,Interior
Rock Slough @ Old River,10/10/1991,554,15,88.47167384,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/21/1991,551,15,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,10/3/2000,548,15,87.25802224,W,OMR,Interior
Rock Slough @ Old River,3/20/1990,548,15,85.09103604,C,OMR,Interior
Middle River at Bacon Island Bridge,11/21/1991,547,15,93.42904814,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/10/1981,545,15,88.94945498,AN,OMR,Interior
Middle River @ Union Point - P10A,1/3/2008,544,15,83.34570353,C,OMR,Interior
Middle River at Bacon Island Bridge,10/16/1990,542,15,94.0236734,D,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1990,542,15,93.08539402,C,OMR,Interior
Middle River @ Union Point - P10A,7/7/2014,541,15,90.2187572,C,OMR,Interior
Middle River @ Union Point - P10A,2/2/2010,536,15,54.29400396,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/9/1992,535,15,88.84783983,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/16/1986,530,15,84.02165809,W,OMR,Interior
Clifton Court Intake,7/23/1991,528,15,91.47785985,C,OMR,Interior
Middle River at Bacon Island Bridge,2/16/1993,524,15,58.91466321,AN,OMR,Interior
Middle River at Bacon Island Bridge,10/7/1992,522,15,92.45317986,C,OMR,Interior
Middle River at Bacon Island Bridge,1/7/1992,519,15,93.01508883,C,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,15,66.95278638,W,OMR,Interior
Middle River at Bacon Island Bridge,3/24/1994,516,15,72.52425966,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/28/1988,512,15,88.84197167,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2008,511,15,92.75840841,C,OMR,Interior
Middle River @ Union Point - P10A,5/6/2008,503,15,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,10/6/2014,503,15,94.77701545,D,OMR,Interior
Middle River @ Union Point - P10A,4/8/2008,492,15,78.37516679,C,OMR,Interior
Clifton Court Intake,5/21/1992,463,15,91.77345049,C,OMR,Interior
Contra Costa PP Number 01,5/19/1992,451,15,92.35936602,C,OMR,Interior
Contra Costa PP Number 01,3/24/1992,421,15,67.98576989,C,OMR,Interior
Middle River @ Union Point - P10A,1/9/2019,543,14.5,#N/A,W,OMR,Interior
Old River near Rock Slough,9/2/1959,644,14,91.96611223,BN,OMR,Interior
Old River near Rock Slough,9/2/1959,621,14,91.96611223,BN,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,14,88.64679121,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1990,595,14,84.4251127,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/13/1979,592,14,83.32246149,BN,OMR,Interior
Middle River @ Union Point - P10A,9/9/2015,581,14,94.75346141,C,OMR,Interior
Rock Slough @ Old River,7/26/1990,572,14,86.56430395,C,OMR,Interior
Rock Slough @ Old River,8/21/1991,550,14,88.57096592,C,OMR,Interior
Rock Slough @ Old River,9/17/1990,548,14,85.19881494,C,OMR,Interior
Rock Slough @ Old River,7/31/1990,547,14,85.26138636,C,OMR,Interior
Rock Slough @ Old River,8/7/1991,546,14,92.52821793,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/17/1990,544,14,85.19881494,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2014,542,14,93.6049299,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1991,539,14,92.52821793,C,OMR,Interior
Middle River at Bacon Island Bridge,1/2/1991,536,14,93.51732212,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/31/1990,533,14,85.26138636,C,OMR,Interior
Middle River at Bacon Island Bridge,1/29/1991,532,14,94.90599798,C,OMR,Interior
Clifton Court Intake,4/24/1990,532,14,86.79032173,C,OMR,Interior
Middle River at Bacon Island Bridge,7/22/1992,527,14,92.3938467,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/11/1990,527,14,86.1336185,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/20/1979,517,14,61.16117032,BN,OMR,Interior
Clifton Court Intake,2/14/1990,515,14,84.5852336,C,OMR,Interior
Old River near Rock Slough,9/15/1959,509,14,84.58759953,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/7/1987,505,14,85.52687347,D,OMR,Interior
Clifton Court Intake,9/24/1990,504,14,90.82305445,C,OMR,Interior
Middle River at Bacon Island Bridge,1/15/1991,501,14,92.72130445,C,OMR,Interior
Middle River at Bacon Island Bridge,5/19/1994,499,14,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,2/6/2006,491,14,52.81827396,W,OMR,Interior
Middle River @ Union Point - P10A,5/5/2014,483,14,87.63000727,C,OMR,Interior
Middle River at Bacon Island Bridge,2/17/1994,482,14,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,10/10/1990,481,14,93.96433834,D,OMR,Interior
Middle River at Bacon Island Bridge,3/9/1993,471,14,59.04059358,AN,OMR,Interior
Middle River @ Union Point - P10A,1/5/2015,470,14,71.50190239,C,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1991,469,14,72.32639176,C,OMR,Interior
Middle River at Bacon Island Bridge,6/11/1991,468,14,92.37007644,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2010,466,14,86.26711441,BN,OMR,Interior
Middle River @ Union Point - P10A,4/7/2014,459,14,75.44547873,C,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1992,458,14,91.77345049,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1992,458,14,92.85385013,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/1/1987,458,14,84.03896739,D,OMR,Interior
Middle River at Bacon Island Bridge,5/7/1992,456,14,90.34949329,C,OMR,Interior
Middle River at Bacon Island Bridge,1/23/1992,455,14,92.69366513,C,OMR,Interior
Middle River at Bacon Island Bridge,6/28/1991,451,14,91.92518677,C,OMR,Interior
Rock Slough @ Old River,7/10/1990,449,14,87.75334412,C,OMR,Interior
Middle River at Bacon Island Bridge,4/20/1994,441,14,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2010,441,14,68.63765096,BN,OMR,Interior
Clifton Court Intake,3/24/1994,437,14,72.52425966,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2008,435,14,81.73068377,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2015,419,14,88.0123047,C,OMR,Interior
Contra Costa PP Number 01,5/6/2008,415,14,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2015,415,14,87.92593622,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2015,406,14,78.10690622,C,OMR,Interior
