Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,6/4/2002,330,1.6,69.35185908,D,OMR,Interior
Middle River @ Union Point - P10A,3/7/2011,372,1.6,56.35666923,W,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,1.6,70.46558651,AN,OMR,Interior
Middle River @ Union Point - P10A,3/8/2017,187,1.7,46.65054443,W,OMR,Interior
Contra Costa PP Number 01,8/5/1998,190,1.7,70.95431958,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/24/1982,196,1.7,58.78823135,W,OMR,Interior
Rock Slough @ Old River,4/21/1993,211,1.7,62.38347365,AN,OMR,Interior
Old River North of Rock Slough (St 4b),4/21/1993,212,1.7,62.38347365,AN,OMR,Interior
Middle River @ Union Point - P10A,7/7/2009,228,1.7,82.06398554,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/10/1980,230,1.7,69.27641079,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/2/1981,232,1.7,75.30547237,D,OMR,Interior
Middle River @ Union Point - P10A,8/4/2009,265,1.7,84.14076361,D,OMR,Interior
Contra Costa PP Number 01,5/2/2007,268,1.7,74.44600721,D,OMR,Interior
Middle River @ Union Point - P10A,11/7/2006,274,1.7,88.98570418,AN,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,1.7,67.44761682,W,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,1.7,66.71648137,AN,OMR,Interior
Clifton Court Intake,6/10/1993,301,1.7,57.844797,AN,OMR,Interior
Contra Costa PP Number 01,11/7/2006,302,1.7,88.98570418,AN,OMR,Interior
Clifton Court Intake,6/4/1986,303,1.7,70.7018673,W,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,1.7,55.67296976,W,OMR,Interior
Contra Costa PP Number 01,5/6/2002,350,1.7,71.01564345,D,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,1.7,58.29157662,W,OMR,Interior
Old River South of Rock Slough (St 5A),11/16/1982,180,1.8,65.44459814,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1981,209,1.8,79.42709404,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/30/1980,218,1.8,52.74067557,AN,OMR,Interior
Old River South of Rock Slough (St 5A),11/14/1980,219,1.8,78.251066,BN,OMR,Interior
Old River South of Rock Slough (St 5A),4/23/1981,226,1.8,75.00542927,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1981,227,1.8,84.3665229,D,OMR,Interior
Old River South of Rock Slough (St 5A),10/19/1982,234,1.8,67.33005042,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/18/1981,243,1.8,80.97126487,D,OMR,Interior
Contra Costa PP Number 01,4/21/1993,265,1.8,62.38347365,AN,OMR,Interior
Middle River at Bacon Island Bridge,8/22/1990,269,1.8,83.47764088,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1981,269,1.8,80.86307077,D,OMR,Interior
Contra Costa PP Number 01,6/6/1996,277,1.8,61.33562885,W,OMR,Interior
Middle River @ Union Point - P10A,8/6/2007,277,1.8,84.7182393,D,OMR,Interior
Old River South of Rock Slough (St 5A),5/19/1980,277,1.8,62.05980719,AN,OMR,Interior
Old River South of Rock Slough (St 5A),5/27/1980,277,1.8,65.09270984,AN,OMR,Interior
Clifton Court Intake,5/7/1986,280,1.8,66.57784182,W,OMR,Interior
Contra Costa PP Number 01,9/5/1996,283,1.8,73.8076039,W,OMR,Interior
Old River South of Rock Slough (St 5A),9/3/1980,293,1.8,80.90049445,AN,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,1.8,80.94470218,D,OMR,Interior
Clifton Court Intake,8/10/1993,348,1.8,70.9026113,AN,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,1.8,51.6298188,W,OMR,Interior
Middle River @ Union Point - P10A,5/4/2010,400,1.8,57.05251942,BN,OMR,Interior
Contra Costa PP Number 01,4/3/2006,428,1.8,47.97842568,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/16/1980,205,1.9,70.43542093,AN,OMR,Interior
Old River South of Rock Slough (St 5A),12/5/1980,220,1.9,81.24381742,AN,OMR,Interior
Rock Slough @ Old River,7/2/1986,225,1.9,77.07568175,W,OMR,Interior
Old River South of Rock Slough (St 5A),11/24/1980,225,1.9,79.91615184,BN,OMR,Interior
Old River South of Rock Slough (St 5A),2/14/1980,266,1.9,67.64537101,AN,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,1.9,76.64482557,W,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,1.9,68.97868863,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/8/1980,303,1.9,56.38489514,AN,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,1.9,88.35573476,C,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,1.9,86.24729429,BN,OMR,Interior
Old River near Rock Slough,6/19/1959,318,1.9,91.43818578,BN,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,1.9,82.94141541,BN,OMR,Interior
Old River near Rock Slough,6/19/1959,327,1.9,91.43818578,BN,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,1.9,60.83995013,AN,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,1.9,66.95278638,W,OMR,Interior
Middle River @ Union Point - P10A,7/9/2018,246,2,82.60710477,BN,OMR,Interior
Middle River @ Union Point - P10A,12/4/2017,246,2,83.87250454,W,OMR,Interior
Contra Costa PP Number 01,7/1/1997,249,2,78.99333076,W,OMR,Interior
Contra Costa PP Number 01,7/2/2007,264,2,80.94470218,D,OMR,Interior
