Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Old River near Rock Slough,7/7/1959,716,37,94.29889644,BN,OMR,Interior
Clifton Court Intake,11/21/1991,688,37,93.42904814,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2009,589,37,86.18470086,D,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1990,542,37,93.08539402,C,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1991,469,37,72.32639176,C,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,37,79.89948567,D,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,37,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,2/5/2002,385,37,70.70857903,D,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,36,79.66720736,C,OMR,Interior
Old River near Rock Slough,7/7/1959,749,36,94.29889644,BN,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,36,88.7732302,C,OMR,Interior
Contra Costa PP Number 01,1/3/2006,703,36,0,W,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,36,82.80590189,AN,OMR,Interior
Middle River @ Union Point - P10A,5/4/2015,568,36,94.17154572,C,OMR,Interior
Contra Costa PP Number 01,5/21/1991,537,36,91.14886705,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2015,470,36,71.50190239,C,OMR,Interior
Contra Costa PP Number 01,2/5/2008,462,36,54.87619201,C,OMR,Interior
Middle River at Bacon Island Bridge,1/23/1992,455,36,92.69366513,C,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,36,86.55672415,C,OMR,Interior
Middle River @ Union Point - P10A,4/9/2018,358,36,54.04390508,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,36,57.844797,AN,OMR,Interior
Clifton Court Intake,5/7/1986,280,36,66.57784182,W,OMR,Interior
Middle River at Bacon Island Bridge,1/29/1991,532,35,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,4/20/1994,375,35,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,3/4/2008,374,35,66.16351777,C,OMR,Interior
Contra Costa PP Number 01,3/4/2008,361,35,66.16351777,C,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,35,64.18410148,W,OMR,Interior
Contra Costa PP Number 01,3/13/1995,322,35,37.53111646,W,OMR,Interior
Rock Slough @ Old River,8/25/1994,805,34,90.48799198,C,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,34,92.53683095,C,OMR,Interior
Contra Costa PP Number 01,10/6/2004,730,34,80.20091081,AN,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,34,94.9140377,C,OMR,Interior
Contra Costa PP Number 01,1/2/2007,704,34,80.23657174,D,OMR,Interior
Clifton Court Intake,9/22/1994,667,34,90.04354307,C,OMR,Interior
Middle River @ Union Point - P10A,5/5/2014,483,34,87.63000727,C,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,34,69.35185908,D,OMR,Interior
Middle River at Bacon Island Bridge,2/9/1993,320,34,67.78217395,AN,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,34,67.44761682,W,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,34,76.64482557,W,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,33,95.81957478,C,OMR,Interior
Clifton Court Intake,6/25/1991,607,33,93.04612539,C,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,33,83.08252588,C,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,33,90.63835999,C,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,33,92.75840841,C,OMR,Interior
Middle River at Bacon Island Bridge,6/25/1992,564,33,90.85817896,C,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1994,464,33,92.73586707,AN,OMR,Interior
Middle River @ Union Point - P10A,2/3/2015,415,33,87.92593622,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2018,402,33,74.06112596,BN,OMR,Interior
Contra Costa PP Number 01,6/2/2008,366,33,81.73068377,C,OMR,Interior
Middle River at Bacon Island Bridge,1/19/1994,356,33,80.49647088,C,OMR,Interior
Contra Costa PP Number 01,5/6/2002,350,33,71.01564345,D,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,33,72.87905364,D,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,32,88.40480968,D,OMR,Interior
