Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Old River North of Rock Slough (St 4b),7/20/1994,690,89,90.6143213,C,OMR,Interior
Contra Costa PP Number 01,7/20/1994,666,89,90.6143213,C,OMR,Interior
Clifton Court Intake,6/25/1992,724,88,90.85817896,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/25/1979,685,88,82.86895876,BN,OMR,Interior
Rock Slough @ Old River,5/23/1990,660,88,90.30188297,C,OMR,Interior
Contra Costa PP Number 01,1/3/2005,640,88,63.06546569,AN,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,87,92.63852791,AN,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,87,92.53683095,C,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,87,87.61870823,AN,OMR,Interior
Clifton Court Intake,10/23/1990,710,87,94.64630634,D,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,87,78.03491703,W,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,86,93.92384943,C,OMR,Interior
Clifton Court Intake,9/6/1988,713,86,89.33894643,C,OMR,Interior
Rock Slough @ Old River,6/13/1991,713,86,92.96709129,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,86,94.9140377,C,OMR,Interior
Clifton Court Intake,11/21/1991,688,86,93.42904814,C,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,85,59.02850507,AN,OMR,Interior
Old River North of Rock Slough (St 4b),10/23/1991,665,85,94.27657666,C,OMR,Interior
Rock Slough @ Old River,3/3/1988,711,84,90.73493039,C,OMR,Interior
Contra Costa PP Number 01,1/17/1995,709,84,46.35508675,W,OMR,Interior
Clifton Court Intake,11/13/1990,689,84,93.89378554,D,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,84,83.27712196,D,OMR,Interior
Clifton Court Intake,4/24/1991,792,83,86.48122671,C,OMR,Interior
Clifton Court Intake,1/31/1991,731,83,94.0793962,C,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,83,93.88533024,C,OMR,Interior
Clifton Court Intake,9/22/1994,667,83,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,82.4,90.04861349,W,OMR,Interior
Rock Slough @ Old River,4/5/1988,679,82,85.25427643,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1991,648,82,92.07471565,C,OMR,Interior
